,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
411,2022,Expert,Full-time,ETL Developer,63000,USD,63000,US,WFH,US,Medium
412,2022,Intermediate,Full-time,Data Manager,134000,USD,134000,US,WFO,US,Medium
413,2022,Intermediate,Full-time,Data Manager,98000,USD,98000,US,WFO,US,Medium
414,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
415,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
416,2022,Expert,Full-time,Director of Data Science,55000,EUR,57908,FR,Hybrid,FR,Big Enterprise
417,2022,Intermediate,Full-time,Data Analyst,136000,USD,136000,US,WFH,US,Medium
418,2022,Intermediate,Full-time,Data Analyst,112000,USD,112000,US,WFH,US,Medium
419,2022,Expert,Full-time,Data Scientist,172000,USD,172000,US,WFH,US,Medium
420,2022,Expert,Full-time,Data Scientist,140000,USD,140000,US,WFH,US,Medium
421,2022,Expert,Full-time,Data Engineer,215000,USD,215000,US,WFO,US,Medium
422,2022,Expert,Full-time,Data Engineer,164000,USD,164000,US,WFO,US,Medium
423,2022,Expert,Full-time,Data Engineer,300000,USD,300000,US,WFO,US,Medium
424,2022,Expert,Full-time,Data Engineer,130000,USD,130000,US,WFO,US,Medium
425,2022,Expert,Full-time,Data Engineer,250000,USD,250000,US,WFH,US,Medium
426,2022,Expert,Full-time,Data Engineer,63000,USD,63000,US,WFH,US,Medium
427,2022,Expert,Full-time,Data Engineer,180000,USD,180000,US,WFH,US,Medium
428,2022,Expert,Full-time,Data Engineer,150000,USD,150000,US,WFH,US,Medium
429,2021,Junior,Full-time,Data Engineer,33000,GBP,45390,GB,Hybrid,GB,Big Enterprise
430,2022,Expert,Full-time,Data Engineer,250000,USD,250000,US,WFH,US,Medium
431,2022,Expert,Full-time,Data Engineer,63000,USD,63000,US,WFH,US,Medium
432,2022,Expert,Full-time,Data Scientist,191475,USD,191475,US,WFH,US,Medium
433,2022,Expert,Full-time,Data Scientist,141525,USD,141525,US,WFH,US,Medium
434,2022,Intermediate,Full-time,Data Analyst,97500,USD,97500,US,WFH,US,Big Enterprise
435,2022,Expert,Full-time,Applied Scientist,212800,USD,212800,US,WFH,US,Medium
